structure,use_rank,path_compression,n,m,workload,trial,runtime,pointer_updates
tree,False,True,100000,500000,random_50_50,2,0.5179953649999334,170762
tree,False,True,100000,500000,random_50_50,3,0.4994364320000386,170518
tree,True,True,100000,500000,random_50_50,1,0.46424583500015615,171918
tree,True,True,100000,500000,random_50_50,2,0.6140440330000274,171887
tree,True,True,100000,500000,random_50_50,3,0.5527700989998721,171640
list,False,False,100000,500000,adversarial,1,0.4491909990001659,99999
list,False,False,100000,500000,adversarial,2,0.4047586740000497,99999
list,False,False,100000,500000,adversarial,3,0.5040166450000925,99999
tree,False,True,100000,500000,adversarial,1,0.5359695749998536,99999
tree,False,True,100000,500000,adversarial,2,0.6840053619998798,99999
tree,False,True,100000,500000,adversarial,3,0.4436965089998921,99999
tree,True,True,100000,500000,adversarial,1,0.4222597630000564,99999
tree,True,True,100000,500000,adversarial,2,0.5556595790001211,99999
tree,True,True,100000,500000,adversarial,3,0.43480313300005946,99999
list,False,False,100000,500000,batched_finds,1,0.8933736930000578,204827
list,False,False,100000,500000,batched_finds,2,0.8946656370001165,206486
list,False,False,100000,500000,batched_finds,3,0.8539171370000531,202330
tree,False,True,100000,500000,batched_finds,1,0.6628903349999291,171088
tree,False,True,100000,500000,batched_finds,2,0.6931092810000337,171616
tree,False,True,100000,500000,batched_finds,3,0.598404956999957,170870
tree,True,True,100000,500000,batched_finds,1,0.7419171910000841,173562
tree,True,True,100000,500000,batched_finds,2,0.7073899049999,173029
tree,True,True,100000,500000,batched_finds,3,0.7693172320000485,172726
list,False,False,100000,500000,gnp,1,0.8794096130000071,203578
list,False,False,100000,500000,gnp,2,0.6475270199998704,205372
list,False,False,100000,500000,gnp,3,0.7514998060000835,203337
tree,False,True,100000,500000,gnp,1,0.7654443859998992,171736
tree,False,True,100000,500000,gnp,2,0.8169244670000353,171603
tree,False,True,100000,500000,gnp,3,0.7547737290001351,172072
tree,True,True,100000,500000,gnp,1,0.6582030130000476,172834
tree,True,True,100000,500000,gnp,2,0.7885009130000071,173485
tree,True,True,100000,500000,gnp,3,0.7745653640001819,172590
list,False,False,100000,1000000,random_50_50,1,0.6712865199999669,202653
list,False,False,100000,1000000,random_50_50,2,0.7634234029999334,206953
list,False,False,100000,1000000,random_50_50,3,0.603418665999925,202123
tree,False,True,100000,1000000,random_50_50,1,0.682558002000178,171711
tree,False,True,100000,1000000,random_50_50,2,0.6484060430000227,170805
tree,False,True,100000,1000000,random_50_50,3,0.8583843030000935,171436
tree,True,True,100000,1000000,random_50_50,1,0.8058819970001423,172900
tree,True,True,100000,1000000,random_50_50,2,0.7731399680001232,172581
tree,True,True,100000,1000000,random_50_50,3,0.8114360780000425,173124
list,False,False,100000,1000000,adversarial,1,1.0812702830000944,99999
list,False,False,100000,1000000,adversarial,2,0.8637526439999874,99999
list,False,False,100000,1000000,adversarial,3,0.9011016740000741,99999
tree,False,True,100000,1000000,adversarial,1,0.9752636790001361,99999
tree,False,True,100000,1000000,adversarial,2,0.7594702589999542,99999
tree,False,True,100000,1000000,adversarial,3,0.7893071089999921,99999
tree,True,True,100000,1000000,adversarial,1,1.0127370400000473,99999
tree,True,True,100000,1000000,adversarial,2,1.5953078520001327,99999
tree,True,True,100000,1000000,adversarial,3,1.0654933800001345,99999
list,False,False,100000,1000000,batched_finds,1,1.9517092060000323,209058
list,False,False,100000,1000000,batched_finds,2,0.8967702380000446,202946
list,False,False,100000,1000000,batched_finds,3,1.276974404999919,204474
tree,False,True,100000,1000000,batched_finds,1,1.1764824039998985,170900
tree,False,True,100000,1000000,batched_finds,2,1.3757547459999842,171225
tree,False,True,100000,1000000,batched_finds,3,1.6356444880000254,171330
tree,True,True,100000,1000000,batched_finds,1,1.0164153480000095,172598
tree,True,True,100000,1000000,batched_finds,2,1.2872709220000615,172591
tree,True,True,100000,1000000,batched_finds,3,1.5831088429999909,172883
list,False,False,100000,1000000,gnp,1,1.1380760899999132,209310
list,False,False,100000,1000000,gnp,2,1.023811786999886,202634
list,False,False,100000,1000000,gnp,3,1.1175546879999274,203650
tree,False,True,100000,1000000,gnp,1,1.6523236349999024,172117
tree,False,True,100000,1000000,gnp,2,2.0232249000000593,171033
tree,False,True,100000,1000000,gnp,3,2.297613231000014,171419
tree,True,True,100000,1000000,gnp,1,2.0344888960000844,173217
tree,True,True,100000,1000000,gnp,2,1.3995548770001278,173136
tree,True,True,100000,1000000,gnp,3,1.5336926679999578,174220
